,course_organization,course_Certificate_type,course_rating,course_students_enrolled_modified,course_difficulty_modified
240,Erasmus University Rotterdam,COURSE,4.8,5.0,0.0
241,University of California San Diego,COURSE,4.7,1.0,0.0
242,University of California San Diego,COURSE,4.6,3.0,0.0
243,University of Washington,SPECIALIZATION,4.7,11.0,0.0
244,University of Colorado System,COURSE,4.8,7.0,0.0
245,American Museum of Natural History,COURSE,4.8,1.0,1.0
246,Erasmus University Rotterdam,COURSE,4.7,11.0,0.5
247,Columbia University,COURSE,4.9,8.0,0.5
248,University of Geneva,COURSE,4.7,1.0,1.0
249,University of Pennsylvania,COURSE,4.9,3.0,0.5
250,Universitat Autònoma de Barcelona,COURSE,4.9,4.0,0.0
251,Universidad Austral,COURSE,5.0,1.0,0.0
252,Google Cloud,COURSE,4.7,5.0,1.0
253,Duke University,COURSE,4.8,1.0,0.0
254,Berklee College of Music,SPECIALIZATION,4.8,11.0,1.0
255,Yonsei University,SPECIALIZATION,4.6,1.0,0.0
256,University at Buffalo,SPECIALIZATION,4.7,3.0,0.0
257,New York University,COURSE,4.8,1.0,0.0
258,Rice University,COURSE,4.7,2.0,0.0
259,Duke University,COURSE,4.6,20.0,0.0
260,University of Pennsylvania,COURSE,4.8,23.0,0.0
261,University of Pennsylvania,COURSE,4.8,76.0,0.5
262,University of Pennsylvania,COURSE,4.8,13.0,0.5
263,Moscow Institute of Physics and Technology,SPECIALIZATION,4.6,4.0,1.0
264,University of Pennsylvania,COURSE,4.8,11.0,0.0
265,Peter the Great St. Petersburg Polytechnic University,COURSE,4.4,2.0,0.0
266,Duke University,SPECIALIZATION,4.5,7.0,1.0
267,University of Pennsylvania,SPECIALIZATION,4.8,11.0,0.0
268,University of Pennsylvania,COURSE,4.8,8.0,0.5
269,University of Pennsylvania,COURSE,4.8,3.0,0.5
270,University of Pennsylvania,COURSE,4.7,3.0,0.0
271,HEC Paris,COURSE,4.8,2.0,0.0
272,"University of Maryland, College Park",SPECIALIZATION,4.6,6.0,0.0
273,The Pennsylvania State University,COURSE,4.8,4.0,0.5
274,University of Pittsburgh,COURSE,4.7,2.0,0.5
275,Imperial College London,SPECIALIZATION,4.7,6.0,0.0
276,Johns Hopkins University,SPECIALIZATION,4.7,3.0,0.0
277,The University of North Carolina at Chapel Hill,COURSE,4.6,13.0,0.5
278,The University of Melbourne,COURSE,4.8,3.0,0.5
279,"University of California, Davis",COURSE,4.8,7.0,0.0
280,"University of California, Irvine",SPECIALIZATION,4.5,1.0,0.0
281,Johns Hopkins University,COURSE,4.7,1.0,0.0
282,Google Cloud,COURSE,4.7,6.0,1.0
283,Google Cloud,COURSE,4.7,8.0,1.0
284,The George Washington University,COURSE,4.8,4.0,1.0
285,The University of Melbourne,SPECIALIZATION,4.6,5.0,1.0
286,Yale University,COURSE,4.8,3.0,0.5
287,Universidad Nacional Autónoma de México,COURSE,4.7,2.0,0.0
288,Universidad Nacional Autónoma de México,SPECIALIZATION,4.8,1.0,0.0
289,University of Colorado Boulder,COURSE,4.8,1.0,0.0
290,Yale University,COURSE,4.9,8.0,0.0
291,Macquarie University,SPECIALIZATION,4.9,24.0,0.0
292,Macquarie University,COURSE,4.7,3.0,1.0
293,Macquarie University,COURSE,4.9,20.0,0.0
